Park Name,count
Dry Tortugas National Park,848
Petrified Forest National Park,853
Great Sand Dunes National Park and Preserve,952
Kobuk Valley National Park,1025
Arches National Park,1048
Kenai Fjords National Park,1057
Black Canyon of the Gunnison National Park,1106
Theodore Roosevelt National Park,1165
Canyonlands National Park,1223
Katmai National Park and Preserve,1225
Mesa Verde National Park,1243
Bryce Canyon National Park,1286
Denali National Park and Preserve,1320
Gates Of The Arctic National Park and Preserve,1353
Badlands National Park,1389
Wind Cave National Park,1395
Isle Royale National Park,1397
Pinnacles National Park,1416
Voyageurs National Park,1453
Carlsbad Caverns National Park,1536
Capitol Reef National Park,1566
Acadia National Park,1709
Biscayne National Park,1726
Mount Rainier National Park,1743
Guadalupe Mountains National Park,1746
Wrangell - St Elias National Park and Preserve,1796
Zion National Park,1796
Lassen Volcanic National Park,1797
Saguaro National Park,1834
Channel Islands National Park,1885
Cuyahoga Valley National Park,1941
Olympic National Park,1948
Hot Springs National Park,1950
Glacier Bay National Park and Preserve,1957
Sequoia and Kings Canyon National Parks,1995
Lake Clark National Park and Preserve,2007
Grand Teton National Park,2030
Everglades National Park,2084
Yosemite National Park,2088
Big Bend National Park,2269
Joshua Tree National Park,2294
Congaree National Park,2321
Mammoth Cave National Park,2499
Glacier National Park,2556
Haleakala National Park,2580
Grand Canyon National Park,2622
Great Basin National Park,2653
Rocky Mountain National Park,3152
Hawaii Volcanoes National Park,3298
North Cascades National Park,3363
Crater Lake National Park,3760
Yellowstone National Park,3966
Death Valley National Park,4439
Shenandoah National Park,4655
Redwood National Park,6310
Great Smoky Mountains National Park,6623
